id,description,children,parents
44,"Path Equivalence: 'file.name' (Internal Dot)",45|,41|981|
45,"Path Equivalence: 'file...name' (Multiple Internal Dot)",,44|165|981|
46,"Path Equivalence: 'filename ' (Trailing Space)",,41|162|981|
47,"Path Equivalence: ' filename' (Leading Space)",,41|981|
48,"Path Equivalence: 'file name' (Internal Whitespace)",,41|981|
49,"Path Equivalence: 'filename/' (Trailing Slash)",,41|162|981|
50,"Path Equivalence: '//multiple/leading/slash'",,41|161|981|
51,"Path Equivalence: '/multiple//internal/slash'",,41|981|
52,"Path Equivalence: '/multiple/trailing/slash//'",,41|163|981|
53,"Path Equivalence: '\multiple\\internal\backslash'",,41|165|981|
54,"Path Equivalence: 'filedir\' (Trailing Backslash)",,41|162|981|
55,"Path Equivalence: '/./' (Single Dot Directory)",,41|981|
56,"Path Equivalence: 'filedir*' (Wildcard)",,41|155|981|
57,"Path Equivalence: 'fakedir/../realdir/filename'",,41|981|
58,"Path Equivalence: Windows 8.3 Filename",,41|981|
59,"Improper Link Resolution Before File Access ('Link Following')",60|61|62|63|64|65|,21|632|706|743|748|808|877|980|
60,"UNIX Path Link Problems",61|62|,59|632|
61,"UNIX Symbolic Link (Symlink) Following",,59|60|
62,"UNIX Hard Link",,59|60|743|877|980|
63,"Windows Path Link Problems",64|65|,59|632|
64,"Windows Shortcut Following (.LNK)",,59|63|743|877|980|
65,"Windows Hard Link",,59|63|743|877|980|
66,"Improper Handling of File Names that Identify Virtual Resources",67|68|69|70|71|72|,21|706|981|
67,"Improper Handling of Windows Device Names",,66|68|632|743|857|877|981|
68,"Windows Virtual File Problems",67|69|,66|632|
69,"Improper Handling of Windows ::DATA Alternate Data Stream",,66|68|634|904|
70,"Mac Virtual File Problems",71|72|,66|632|
71,"Apple '.DS_Store'",,66|70|980|
72,"Improper Handling of Apple HFS+ Alternate Data Stream Path",,66|70|981|
73,"External Control of File Name or Path",,20|610|642|723|752|877|981|
74,"Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')",75|77|79|91|93|94|99|134|138|943|,20|707|727|990|
75,"Failure to Sanitize Special Elements into a Different Plane (Special Element Injection)",76|,74|990|
76,"Improper Neutralization of Equivalent Special Elements",,75|990|
77,"Improper Neutralization of Special Elements used in a Command ('Command Injection')",78|88|624|917|,20|74|713|722|727|929|990|
78,"Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')",,77|634|714|727|741|744|751|801|810|845|864|875|878|929|990|
79,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",80|81|83|84|85|86|87|,20|74|442|712|722|725|751|801|811|864|931|990|
80,"Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS)",,79|990|
81,"Improper Neutralization of Script in an Error Message Web Page",,79|990|
82,"Improper Neutralization of Script in Attributes of IMG Tags in a Web Page",,83|990|
83,"Improper Neutralization of Script in Attributes in a Web Page",82|,79|990|
84,"Improper Neutralization of Encoded URI Schemes in a Web Page",,79|990|
85,"Doubled Character XSS Manipulations",,79|990|
86,"Improper Neutralization of Invalid Characters in Identifiers in Web Pages",,79|436|990|
87,"Improper Neutralization of Alternate XSS Syntax",,79|990|
88,"Argument Injection or Modification",,77|634|741|744|810|875|878|929|990|
89,"Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')",564|,20|713|722|727|751|801|810|864|929|943|990|
90,"Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection')",,713|810|929|943|990|
91,"XML Injection (aka Blind XPath Injection)",643|652|,74|713|727|810|929|990|
93,"Improper Neutralization of CRLF Sequences ('CRLF Injection')",113|,74|713|990|
94,"Improper Control of Generation of Code ('Code Injection')",95|96|,74|691|752|913|991|
95,"Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection')",,94|714|727|990|
96,"Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection')",97|,94|632|990|
97,"Improper Neutralization of Server-Side Includes (SSI) Within a Web Page",,96|990|
98,"Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion')",,632|706|714|727|802|829|
99,"Improper Control of Resource Identifiers ('Resource Injection')",641|694|914|,20|74|813|932|990|
100,"Technology-Specific Input Validation Problems",101|,20|990|
101,"Struts Validation Problems",102|103|104|105|106|107|108|109|110|608|,100|
102,"Struts: Duplicate Validation Forms",,20|101|694|722|990|
103,"Struts: Incomplete validate() Method Definition",,20|101|573|722|990|
104,"Struts: Form Bean Does Not Extend Validation Class",,20|101|573|722|990|
105,"Struts: Form Field Without Validator",,20|101|990|
106,"Struts: Plug-in Framework not in Use",,20|101|722|990|
107,"Struts: Unused Validation Form",,20|101|398|990|
108,"Struts: Unvalidated Action Form",,20|101|990|
109,"Struts: Validator Turned Off",,20|101|722|990|
110,"Struts: Validator Without Form Field",,20|101|398|990|
111,"Direct Use of Unsafe JNI",,20|695|859|1001|
112,"Missing XML Validation",,20|990|
113,"Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')",,20|93|442|990|
114,"Process Control",,20|634|991|
115,"Misinterpretation of Input",,436|977|
116,"Improper Encoding or Escaping of Output",117|644|838|,19|707|751|845|883|992|
117,"Improper Output Neutralization for Logs",,20|116|727|963|
118,"Improper Access of Indexable Resource ('Range Error')",119|,19|970|
119,"Improper Restriction of Operations within the Bounds of a Memory Buffer",120|123|125|130|466|786|787|788|805|822|823|824|825|,20|118|633|726|740|741|742|743|744|752|874|875|876|877|878|970|
120,"Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')",785|,20|119|633|722|726|741|802|865|875|970|
121,"Stack-based Buffer Overflow",,787|788|970|
122,"Heap-based Buffer Overflow",,633|787|788|970|
123,"Write-what-where Condition",,119|970|
124,"Buffer Underwrite ('Buffer Underflow')",,786|787|970|
125,"Out-of-bounds Read",126|127|,119|970|
126,"Buffer Over-read",,125|788|970|
127,"Buffer Under-read",,125|786|970|
128,"Wrap-around Error",,189|682|742|876|998|
129,"Improper Validation of Array Index",,20|189|633|738|740|802|867|872|874|970|
130,"Improper Handling of Length Parameter Inconsistency ",,119|240|990|
131,"Incorrect Calculation of Buffer Size",,682|742|802|865|876|974|
133,"String Errors",134|135|251|597|,19|
134,"Use of Externally-Controlled Format String",,20|74|133|633|726|743|808|845|865|877|990|
135,"Incorrect Calculation of Multi-Byte String Length",,133|682|741|857|974|
136,"Type Errors",681|,19|
137,"Representation Errors",138|171|188|228|,19|
138,"Improper Neutralization of Special Elements",140|147|148|149|150|151|152|153|154|155|156|157|158|159|169|464|790|,74|137|707|990|
140,"Improper Neutralization of Delimiters",141|142|143|144|145|146|,138|990|
141,"Improper Neutralization of Parameter/Argument Delimiters",,140|990|
142,"Improper Neutralization of Value Delimiters",,140|990|
143,"Improper Neutralization of Record Delimiters",,140|990|
144,"Improper Neutralization of Line Delimiters",,140|845|990|
145,"Improper Neutralization of Section Delimiters",,140|990|
146,"Improper Neutralization of Expression/Command Delimiters",,140|990|
147,"Improper Neutralization of Input Terminators",,138|990|
148,"Improper Neutralization of Input Leaders",,138|990|
149,"Improper Neutralization of Quoting Syntax",,138|990|
150,"Improper Neutralization of Escape, Meta, or Control Sequences",,138|845|990|
151,"Improper Neutralization of Comment Delimiters",,138|990|
152,"Improper Neutralization of Macro Symbols",,138|990|
153,"Improper Neutralization of Substitution Characters",,138|990|
154,"Improper Neutralization of Variable Name Delimiters",,138|990|
155,"Improper Neutralization of Wildcards or Matching Symbols",56|,138|990|
156,"Improper Neutralization of Whitespace",,138|990|
157,"Failure to Sanitize Paired Delimiters",,138|990|
158,"Improper Neutralization of Null Byte or NUL Character",,138|990|
159,"Failure to Sanitize Special Element",160|162|164|166|167|168|,138|990|
160,"Improper Neutralization of Leading Special Elements",37|161|,159|990|
161,"Improper Neutralization of Multiple Leading Special Elements",50|,160|990|
162,"Improper Neutralization of Trailing Special Elements",42|46|49|54|163|,159|990|
163,"Improper Neutralization of Multiple Trailing Special Elements",43|52|,162|990|
164,"Improper Neutralization of Internal Special Elements",165|,159|990|
165,"Improper Neutralization of Multiple Internal Special Elements",45|53|,164|990|
166,"Improper Handling of Missing Special Element",,159|703|722|992|
167,"Improper Handling of Additional Special Element",,159|703|722|992|
168,"Improper Handling of Inconsistent Special Elements",,159|703|992|
169,"Technology-Specific Special Elements",170|,138|
170,"Improper Null Termination",,20|169|707|730|741|748|875|973|
171,"Cleansing, Canonicalization, and Comparison Errors",172|178|179|180|181|182|183|184|185|187|478|486|595|596|697|707|768|,137|845|
172,"Encoding Error",173|174|175|176|177|,171|707|992|
173,"Improper Handling of Alternate Encoding",,172|992|
174,"Double Decoding of the Same Data",,172|675|992|
175,"Improper Handling of Mixed Encoding",,172|992|
176,"Improper Handling of Unicode Encoding",,172|747|883|992|
177,"Improper Handling of URL Encoding (Hex Encoding)",,172|992|
178,"Improper Handling of Case Sensitivity",,171|632|706|992|
179,"Incorrect Behavior Order: Early Validation",180|181|,171|693|696|722|992|
180,"Incorrect Behavior Order: Validate Before Canonicalize",,171|179|722|845|992|
181,"Incorrect Behavior Order: Validate Before Filter",,171|179|722|992|
182,"Collapse of Data into Unsafe Value",,171|693|722|845|992|
183,"Permissive Whitelist",942|,171|693|697|722|990|
184,"Incomplete Blacklist",,171|693|697|990|
185,"Incorrect Regular Expression",186|625|,19|171|697|990|
186,"Overly Restrictive Regular Expression",,185|990|
187,"Partial Comparison",839|,171|697|977|
188,"Reliance on Data/Memory Layout",198|,137|435|758|977|
189,"Numeric Errors",128|129|190|195|198|681|682|682|839|,19|19|
190,"Integer Overflow or Wraparound",,20|189|682|738|742|802|865|872|876|998|
191,"Integer Underflow (Wrap or Wraparound)",,682|998|
192,"Integer Coercion Error",,681|682|738|872|
193,"Off-by-one Error",,682|741|875|977|
194,"Unexpected Sign Extension",,681|998|
195,"Signed to Unsigned Conversion Error",,189|681|998|
196,"Unsigned to Signed Conversion Error",,681|998|
197,"Numeric Truncation Error",,681|738|848|872|998|
198,"Use of Incorrect Byte Ordering",,188|189|857|993|
199,"Information Management Errors",200|216|221|779|,19|
200,"Information Exposure",201|202|203|209|212|213|214|215|226|359|497|524|526|538|598|612|,199|668|717|840|963|
201,"Information Exposure Through Sent Data",,200|963|
202,"Exposure of Sensitive Data Through Data Queries",,200|359|967|
203,"Information Exposure Through Discrepancy",204|205|208|,200|717|728|967|
204,"Response Discrepancy Information Exposure",,203|967|
205,"Information Exposure Through Behavioral Discrepancy",206|207|,203|967|
206,"Information Exposure of Internal State Through Behavioral Inconsistency",,205|967|
207,"Information Exposure Through an External Behavioral Inconsistency",,205|967|
208,"Information Exposure Through Timing Discrepancy",,203|967|
209,"Information Exposure Through an Error Message",210|211|550|,200|717|728|731|751|755|801|815|851|867|880|933|963|
210,"Information Exposure Through Self-generated Error Message",535|536|537|,209|963|
211,"Information Exposure Through Externally-generated Error Message",,209|963|
212,"Improper Cross-boundary Removal of Sensitive Data",,200|669|808|867|963|
213,"Intentional Information Exposure",,200|963|
214,"Information Exposure Through Process Environment",,200|634|963|
215,"Information Exposure Through Debug Information",11|,200|717|731|933|963|
216,"Containment Errors (Container Errors)",219|220|493|,199|485|978|
219,"Sensitive Data Under Web Root",433|,216|285|731|815|963|
220,"Sensitive Data Under FTP Root",,216|668|963|
221,"Information Loss or Omission",222|223|224|356|396|397|451|,199|664|997|
222,"Truncation of Security-relevant Information",,221|997|
223,"Omission of Security-relevant Information",778|,221|997|
224,"Obscured Security-relevant Information by Alternate Name",,221|997|
226,"Sensitive Information Uncleared Before Release",244|,200|459|633|729|742|876|963|
227,"Improper Fulfillment of API Contract ('API Abuse')",242|243|244|245|246|248|250|251|252|253|350|382|558|559|573|586|589|605|648|650|684|,18|710|1001|
228,"Improper Handling of Syntactically Invalid Structure",229|233|237|241|,19|137|703|707|728|993|
229,"Improper Handling of Values",230|231|232|,228|993|
230,"Improper Handling of Missing Values",,229|851|993|
231,"Improper Handling of Extra Values",,229|993|
232,"Improper Handling of Undefined Values",,229|851|993|
233,"Improper Handling of Parameters",234|235|236|,228|993|
234,"Failure to Handle Missing Parameter",,233|993|
235,"Improper Handling of Extra Parameters",,233|993|
236,"Improper Handling of Undefined Parameters",,233|993|
237,"Improper Handling of Structural Elements",238|239|240|,228|993|
238,"Improper Handling of Incomplete Structural Elements",,237|993|
239,"Failure to Handle Incomplete Element",,237|993|
240,"Improper Handling of Inconsistent Structural Elements",130|,237|707|993|
241,"Improper Handling of Unexpected Data Type",,228|743|877|993|
242,"Use of Inherently Dangerous Function",,227|710|748|1001|
243,"Creation of chroot Jail Without Changing Working Directory",,227|573|632|669|979|
244,"Improper Clearing of Heap Memory Before Release ('Heap Inspection')",,226|227|633|742|876|963|
245,"J2EE Bad Practices: Direct Management of Connections",,227|695|1001|
246,"J2EE Bad Practices: Direct Use of Sockets",,227|695|1001|
248,"Uncaught Exception",600|,227|389|703|705|730|851|962|
250,"Execution with Unnecessary Privileges",,227|265|269|657|753|815|858|866|901|
251,"Often Misused: String Management",,133|227|633|
252,"Unchecked Return Value",,227|389|728|742|754|847|876|962|
253,"Incorrect Check of Function Return Value",,227|389|573|754|962|
254,"Security Features",255|256|258|259|260|261|264|272|285|287|295|310|330|345|355|358|359|565|602|653|654|655|656|693|778|779|784|798|807|,18|
255,"Credentials Management",261|262|263|521|522|549|620|640|798|,254|724|
256,"Plaintext Storage of a Password",,254|522|930|963|
257,"Storing Passwords in a Recoverable Format",,522|963|
258,"Empty Password in Configuration File",,254|260|521|950|
259,"Use of Hard-coded Password",,254|724|753|798|861|950|
260,"Password in Configuration File",13|258|,254|522|632|963|
261,"Weak Cryptography for Passwords",,254|255|287|326|729|959|
262,"Not Using Password Aging",,255|287|404|951|
263,"Password Aging with Long Expiration",,255|287|404|951|
264,"Permissions, Privileges, and Access Controls",265|275|282|284|,254|
265,"Privilege / Sandbox Issues",250|266|267|268|269|271|274|610|648|,264|
266,"Incorrect Privilege Assignment",9|520|556|,265|269|634|723|859|901|
267,"Privilege Defined With Unsafe Actions",623|,265|269|901|
268,"Privilege Chaining",,265|269|723|901|
269,"Improper Privilege Management",250|266|267|268|270|271|274|648|,265|284|901|
270,"Privilege Context Switching Error",,269|901|
271,"Privilege Dropping / Lowering Errors",272|273|,265|269|901|
272,"Least Privilege Violation",,254|271|748|859|901|
273,"Improper Check for Dropped Privileges",,271|634|748|754|962|
274,"Improper Handling of Insufficient Privileges",,265|269|703|901|
275,"Permission Issues",276|277|278|279|280|281|618|689|732|,264|632|723|731|
276,"Incorrect Default Permissions",,275|732|743|857|877|946|
277,"Insecure Inherited Permissions",,275|732|946|
278,"Insecure Preserved Inherited Permissions",,275|732|946|
279,"Incorrect Execution-Assigned Permissions",,275|732|743|857|877|946|
280,"Improper Handling of Insufficient Permissions or Privileges ",,275|703|962|
281,"Improper Preservation of Permissions",,275|732|946|
282,"Improper Ownership Management",283|708|,264|284|632|840|944|
283,"Unverified Ownership",,282|723|944|
284,"Improper Access Control",269|282|285|286|287|346|782|923|942|,264|632|664|693|723|944|
285,"Improper Authorization",219|732|862|863|926|927|,254|284|721|723|753|803|817|840|935|945|
286,"Incorrect User Management",842|,284|944|
287,"Improper Authentication",261|262|263|301|303|304|306|307|308|309|384|521|522|592|603|620|640|645|798|804|836|,254|284|718|724|812|930|935|947|
288,"Authentication Bypass Using an Alternate Path or Channel",,592|721|840|947|
289,"Authentication Bypass by Alternate Name",,592|845|947|
290,"Authentication Bypass by Spoofing",291|293|350|,592|956|
291,"Reliance on IP Address for Authentication",,290|471|923|
293,"Using Referer Field for Authentication",,290|949|
294,"Authentication Bypass by Capture-replay",,592|956|
295,"Improper Certificate Validation",296|297|298|299|599|,254|693|731|
296,"Improper Following of a Certificate's Chain of Trust",,295|573|724|948|
297,"Improper Validation of Certificate with Host Mismatch",,295|923|948|
298,"Improper Validation of Certificate Expiration",,295|672|724|948|
299,"Improper Check for Certificate Revocation",370|,295|404|948|
300,"Channel Accessible by Non-Endpoint ('Man-in-the-Middle')",,859|923|956|
301,"Reflection Attack in an Authentication Protocol",,287|718|956|
302,"Authentication Bypass by Assumed-Immutable Data",,592|724|807|859|949|
303,"Incorrect Implementation of Authentication Algorithm",,287|947|
304,"Missing Critical Step in Authentication",,287|573|724|947|
305,"Authentication Bypass by Primary Weakness",,592|947|
306,"Missing Authentication for Critical Function",,287|803|812|866|952|
307,"Improper Restriction of Excessive Authentication Attempts",,287|724|799|808|812|866|955|
308,"Use of Single-factor Authentication",,287|654|947|
309,"Use of Password System for Primary Authentication",,287|654|724|947|
310,"Cryptographic Issues",311|320|325|326|327|328|329|780|,254|934|
311,"Missing Encryption of Sensitive Data",312|319|614|,310|693|719|720|729|803|816|818|861|866|930|934|963|
312,"Cleartext Storage of Sensitive Information",313|314|315|316|317|318|,311|816|922|934|963|
313,"Cleartext Storage in a File or on Disk",,312|963|
314,"Cleartext Storage in the Registry",,312|963|
315,"Cleartext Storage of Sensitive Information in a Cookie",,312|963|
316,"Cleartext Storage of Sensitive Information in Memory",,312|633|963|
317,"Cleartext Storage of Sensitive Information in GUI",,312|963|
318,"Cleartext Storage of Sensitive Information in Executable",,312|963|
319,"Cleartext Transmission of Sensitive Information",5|,311|751|818|858|859|930|934|963|
320,"Key Management Errors",321|322|323|324|,310|934|
321,"Use of Hard-coded Cryptographic Key",,320|719|720|729|798|950|
322,"Key Exchange without Entity Authentication",,320|923|959|
323,"Reusing a Nonce, Key Pair in Encryption",,320|344|959|
324,"Use of a Key Past its Expiration Date",,320|672|959|
325,"Missing Required Cryptographic Step",,310|573|719|720|934|958|
326,"Inadequate Encryption Strength",261|328|,310|693|719|720|729|816|934|959|
327,"Use of a Broken or Risky Cryptographic Algorithm",328|780|916|,310|693|729|753|803|816|866|883|934|958|
328,"Reversible One-Way Hash",,310|326|327|934|958|
329,"Not Using a Random IV with CBC Mode",,310|330|573|959|
330,"Use of Insufficiently Random Values",329|331|334|335|338|340|341|342|343|344|804|,254|723|747|753|808|861|867|883|905|
331,"Insufficient Entropy",332|333|,330|905|
332,"Insufficient Entropy in PRNG",,331|861|905|
333,"Improper Handling of Insufficient Entropy in TRNG",,331|703|861|905|
334,"Small Space of Random Values",6|,330|905|
335,"PRNG Seed Error",336|337|339|,330|905|
336,"Same Seed in PRNG",,335|861|905|
337,"Predictable Seed in PRNG",,335|861|905|
338,"Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG)",,330|905|
339,"Small Seed Space in PRNG",,335|905|
340,"Predictability Problems",,330|905|
341,"Predictable from Observable State",,330|905|
342,"Predictable Exact Value from Previous Values",,330|905|
343,"Predictable Value Range from Previous Values",,330|905|
344,"Use of Invariant Value in Dynamically Changing Context",323|587|798|,330|905|
345,"Insufficient Verification of Data Authenticity",346|347|348|349|351|352|353|354|360|616|646|649|924|,254|693|724|949|
346,"Origin Validation Error",,284|345|949|
347,"Improper Verification of Cryptographic Signature",,345|859|959|
348,"Use of Less Trusted Source",,345|975|
349,"Acceptance of Extraneous Untrusted Data With Trusted Data",,345|860|977|
350,"Reliance on Reverse DNS Resolution for a Security-Critical Action",,227|290|807|923|949|
351,"Insufficient Type Distinction",,345|993|
352,"Cross-Site Request Forgery (CSRF)",,345|442|716|751|801|814|864|936|
353,"Missing Support for Integrity Check",,345|957|
354,"Improper Validation of Integrity Check Value",,345|754|993|
355,"User Interface Security Issues",356|357|549|,254|
356,"Product UI does not Warn User of Unsafe Actions",,221|355|996|
357,"Insufficient UI Warning of Dangerous Operations",450|,355|693|996|
358,"Improperly Implemented Security Check for Standard",,254|573|693|978|
359,"Exposure of Private Information ('Privacy Violation')",202|,200|254|857|975|
360,"Trust of System Event Data",422|,345|949|
361,"Time and State",362|364|367|371|376|377|380|382|383|384|385|386|387|412|557|609|613|662|663|664|668|669|672|673|674|691|698|,18|
362,"Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')",364|366|367|368|421|,361|691|743|751|801|852|867|877|882|988|
363,"Race Condition Enabling Link Following",,367|748|988|
364,"Signal Handler Race Condition",432|828|831|,361|362|387|634|986|
365,"Race Condition in Switch",,367|748|986|
366,"Race Condition within a Thread",,362|557|634|748|852|882|986|
367,"Time-of-check Time-of-use (TOCTOU) Race Condition",363|365|,361|362|743|877|988|
368,"Context Switching Race Condition",,362|986|
369,"Divide By Zero",,682|730|738|739|848|872|873|998|
370,"Missing Check for Certificate Revocation after Initial Check",,299|988|
371,"State Issues",372|374|375|472|585|642|,361|
372,"Incomplete Internal State Distinction",,371|697|962|
374,"Passing Mutable Objects to an Untrusted Method",,371|668|849|963|
375,"Returning a Mutable Object to an Untrusted Caller",,371|668|849|963|
376,"Temporary File Issues",377|378|379|,361|632|
377,"Insecure Temporary File",378|379|,361|376|668|857|964|
378,"Creation of Temporary File With Insecure Permissions",,376|377|964|
379,"Creation of Temporary File in Directory with Incorrect Permissions",,376|377|743|877|964|
380,"Technology-Specific Time and State Issues",381|,361|
381,"J2EE Time and State Issues",382|383|543|,380|
382,"J2EE Bad Practices: Use of System.exit()",,227|361|381|705|730|851|1001|
383,"J2EE Bad Practices: Direct Use of Threads",,361|381|634|695|1001|
384,"Session Fixation",,287|361|724|930|
385,"Covert Timing Channel",,361|514|968|
386,"Symbolic Name not Mapping to Correct Object",,361|706|980|
387,"Signal Errors",364|,361|634|
388,"Error Handling",389|391|395|396|397|544|600|636|754|756|,18|728|
389,"Error Conditions, Return Values, Status Codes",248|252|253|390|391|392|393|394|395|396|397|584|,388|
390,"Detection of Error Condition Without Action",,389|728|755|851|880|962|
391,"Unchecked Error Condition",,388|389|703|728|743|746|876|877|880|962|
392,"Missing Report of Error Condition",,389|684|703|855|961|
393,"Return of Wrong Status Code",,389|684|703|961|
394,"Unexpected Status Code or Return Value",,389|728|754|962|
395,"Use of NullPointerException Catch to Detect NULL Pointer Dereference",,388|389|705|755|851|962|
396,"Declaration of Catch for Generic Exception",,221|388|389|705|755|960|
397,"Declaration of Throws for Generic Exception",,221|388|389|703|705|851|960|
398,"Indicator of Poor Code Quality",107|110|399|401|404|415|416|457|474|475|476|477|478|483|484|546|547|561|562|563|569|585|586|617|676|,18|710|978|
399,"Resource Management Errors",400|401|402|404|405|410|411|415|416|417|568|590|761|762|763|,398|
400,"Uncontrolled Resource Consumption ('Resource Exhaustion')",769|770|771|772|779|920|,399|664|730|858|861|985|
401,"Improper Release of Memory Before Removing Last Reference ('Memory Leak')",,398|399|633|730|772|861|982|
402,"Transmission of Private Resources into a New Sphere ('Resource Leak')",403|619|,399|668|963|
403,"Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak')",,402|634|743|877|963|
404,"Improper Resource Shutdown or Release",262|263|299|459|619|763|772|,398|399|664|730|743|752|857|876|877|882|982|
405,"Asymmetric Resource Consumption (Amplification)",406|407|408|409|,399|664|730|855|857|977|
406,"Insufficient Control of Network Message Volume (Network Amplification)",,405|977|
407,"Algorithmic Complexity",,405|977|
408,"Incorrect Behavior Order: Early Amplification",,405|696|840|977|
409,"Improper Handling of Highly Compressed Data (Data Amplification)",776|,405|845|977|
410,"Insufficient Resource Pool",,399|664|730|855|977|
411,"Resource Locking Problems",412|413|414|,399|
412,"Unrestricted Externally Accessible Lock",,361|411|667|730|853|989|
413,"Improper Resource Locking",591|,411|667|852|853|986|
414,"Missing Lock Check",,411|667|986|
415,"Double Free",,398|399|633|666|675|742|825|876|969|
416,"Use After Free",,398|399|633|742|808|825|876|983|
417,"Channel and Path Errors",418|424|426|427|428|,18|399|
418,"Channel Errors",419|420|514|,417|
419,"Unprotected Primary Channel",,418|923|956|
420,"Unprotected Alternate Channel",421|422|,418|923|956|
421,"Race Condition During Access to Alternate Channel",,362|420|634|956|
422,"Unprotected Windows Messaging Channel ('Shatter')",,360|420|634|953|
424,"Improper Protection of Alternate Path",425|,417|638|693|945|
425,"Direct Request ('Forced Browsing')",,288|424|442|721|722|723|862|953|
426,"Untrusted Search Path",,417|634|642|673|744|752|808|878|
427,"Uncontrolled Search Path Element",,417|668|991|
428,"Unquoted Search Path or Element",,417|668|981|
429,"Handler Errors",430|431|432|433|434|479|616|,18|
430,"Deployment of Wrong Handler",,429|691|977|
431,"Missing Handler",,429|691|962|
432,"Dangerous Signal Handler not Disabled During Sensitive Operations",,364|429|1001|
433,"Unparsed Raw Web Content Delivery",,219|429|963|
434,"Unrestricted Upload of File with Dangerous Type",,429|632|669|714|801|813|864|
435,"Interaction Error",188|436|439|733|,2|957|
436,"Interpretation Conflict",86|115|437|444|626|650|,435|957|
437,"Incomplete Model of Endpoint Features",,436|957|
438,"Behavioral Problems",439|440|799|840|841|,18|
439,"Behavioral Change in New Version or Environment",,435|438|1001|
440,"Expected Behavior Violation",,438|684|1001|
441,"Unintended Proxy or Intermediary ('Confused Deputy')",918|,610|956|
