id, name, children, frequency
189,"Numeric Errors","Wrap-around Error | Improper Validation of Array Index | Integer Overflow or Wraparound | Signed to Unsigned Conversion Error | Use of Incorrect Byte Ordering | Incorrect Conversion between Numeric Types | Incorrect Calculation | Numeric Range Comparison Without Minimum Check | "1288
199,"Information Management Errors","Information Exposure | Containment Errors (Container Errors) | Information Loss or Omission | Logging of Excessive Data | "2483
200,"Information Exposure","Information Exposure Through Sent Data | Exposure of Sensitive Data Through Data Queries | Information Exposure Through Discrepancy | Information Exposure Through an Error Message | Improper Cross-boundary Removal of Sensitive Data | Intentional Information Exposure | Information Exposure Through Process Environment | Information Exposure Through Debug Information | Sensitive Information Uncleared Before Release | Exposure of Private Information ('Privacy Violation') | Exposure of System Data to an Unauthorized Control Sphere | Information Exposure Through Caching | Information Exposure Through Environmental Variables | File and Directory Information Exposure | Information Exposure Through Query Strings in GET Request | Information Exposure Through Indexing of Private Data | "2481
254,"Security Features","Credentials Management | Plaintext Storage of a Password | Empty Password in Configuration File | Use of Hard-coded Password | Password in Configuration File | Weak Cryptography for Passwords | Permissions, Privileges, and Access Controls | Least Privilege Violation | Improper Authorization | Improper Authentication | Improper Certificate Validation | Cryptographic Issues | Use of Insufficiently Random Values | Insufficient Verification of Data Authenticity | User Interface Security Issues | Improperly Implemented Security Check for Standard | Exposure of Private Information ('Privacy Violation') | Reliance on Cookies without Validation and Integrity Checking | Client-Side Enforcement of Server-Side Security | Insufficient Compartmentalization | Reliance on a Single Factor in a Security Decision | Insufficient Psychological Acceptability | Reliance on Security Through Obscurity | Protection Mechanism Failure | Insufficient Logging | Logging of Excessive Data | Reliance on Cookies without Validation and Integrity Checking in a Security Decision | Use of Hard-coded Credentials | Reliance on Untrusted Inputs in a Security Decision | "35289
255,"Credentials Management","Weak Cryptography for Passwords | Not Using Password Aging | Password Aging with Long Expiration | Weak Password Requirements | Insufficiently Protected Credentials | Missing Password Field Masking | Unverified Password Change | Weak Password Recovery Mechanism for Forgotten Password | Use of Hard-coded Credentials | "583
264,"Permissions, Privileges, and Access Controls","Privilege / Sandbox Issues | Permission Issues | Improper Ownership Management | Improper Access Control | "5653
284,"Improper Access Control","Improper Privilege Management | Improper Ownership Management | Improper Authorization | Incorrect User Management | Improper Authentication | Origin Validation Error | Exposed IOCTL with Insufficient Access Control | Improper Restriction of Communication Channel to Intended Endpoints | Overly Permissive Cross-domain Whitelist | "1176
287,"Improper Authentication","Weak Cryptography for Passwords | Not Using Password Aging | Password Aging with Long Expiration | Reflection Attack in an Authentication Protocol | Incorrect Implementation of Authentication Algorithm | Missing Critical Step in Authentication | Missing Authentication for Critical Function | Improper Restriction of Excessive Authentication Attempts | Use of Single-factor Authentication | Use of Password System for Primary Authentication | Session Fixation | Weak Password Requirements | Insufficiently Protected Credentials | Authentication Bypass Issues | Use of Client-Side Authentication | Unverified Password Change | Weak Password Recovery Mechanism for Forgotten Password | Overly Restrictive Account Lockout Mechanism | Use of Hard-coded Credentials | Guessable CAPTCHA | Use of Password Hash Instead of Password for Authentication | "976
310,"Cryptographic Issues","Missing Encryption of Sensitive Data | Key Management Errors | Missing Required Cryptographic Step | Inadequate Encryption Strength | Use of a Broken or Risky Cryptographic Algorithm | Reversible One-Way Hash | Not Using a Random IV with CBC Mode | Use of RSA Algorithm without OAEP | "2233
345,"Insufficient Verification of Data Authenticity","Origin Validation Error | Improper Verification of Cryptographic Signature | Use of Less Trusted Source | Acceptance of Extraneous Untrusted Data With Trusted Data | Insufficient Type Distinction | Cross-Site Request Forgery (CSRF) | Missing Support for Integrity Check | Improper Validation of Integrity Check Value | Trust of System Event Data | Incomplete Identification of Uploaded File Variables (PHP) | Reliance on File Name or Extension of Externally-Supplied File | Reliance on Obfuscation or Encryption of Security-Relevant Inputs without Integrity Checking | Improper Enforcement of Message Integrity During Transmission in a Communication Channel | "1138
352,"Cross-Site Request Forgery (CSRF)",""1118
361,"Time and State","Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition') | Signal Handler Race Condition | Time-of-check Time-of-use (TOCTOU) Race Condition | State Issues | Temporary File Issues | Insecure Temporary File | Technology-Specific Time and State Issues | J2EE Bad Practices: Use of System.exit() | J2EE Bad Practices: Direct Use of Threads | Session Fixation | Covert Timing Channel | Symbolic Name not Mapping to Correct Object | Signal Errors | Unrestricted Externally Accessible Lock | Concurrency Issues | Double-Checked Locking | Insufficient Session Expiration | Improper Synchronization | Use of a Non-reentrant Function in a Concurrent Context | Improper Control of a Resource Through its Lifetime | Exposure of Resource to Wrong Sphere | Incorrect Resource Transfer Between Spheres | Operation on a Resource after Expiration or Release | External Influence of Sphere Definition | Uncontrolled Recursion | Insufficient Control Flow Management | Execution After Redirect (EAR) | "8343
362,"Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')","Signal Handler Race Condition | Race Condition within a Thread | Time-of-check Time-of-use (TOCTOU) Race Condition | Context Switching Race Condition | Race Condition During Access to Alternate Channel | "353
398,"Indicator of Poor Code Quality","Struts: Unused Validation Form | Struts: Validator Without Form Field | Resource Management Errors | Improper Release of Memory Before Removing Last Reference ('Memory Leak') | Improper Resource Shutdown or Release | Double Free | Use After Free | Use of Uninitialized Variable | Use of Function with Inconsistent Implementations | Undefined Behavior for Input to API | NULL Pointer Dereference | Use of Obsolete Functions | Missing Default Case in Switch Statement | Incorrect Block Delimitation | Omitted Break Statement in Switch | Suspicious Comment | Use of Hard-coded, Security-relevant Constants | Dead Code | Return of Stack Variable Address | Assignment to Variable without Use ('Unused Variable') | Expression Issues | Empty Synchronized Block | Explicit Call to Finalize() | Reachable Assertion | Use of Potentially Dangerous Function | "2648
399,"Resource Management Errors","Uncontrolled Resource Consumption ('Resource Exhaustion') | Improper Release of Memory Before Removing Last Reference ('Memory Leak') | Transmission of Private Resources into a New Sphere ('Resource Leak') | Improper Resource Shutdown or Release | Asymmetric Resource Consumption (Amplification) | Insufficient Resource Pool | Resource Locking Problems | Double Free | Use After Free | Channel and Path Errors | finalize() Method Without super.finalize() | Free of Memory not on the Heap | Free of Pointer not at Start of Buffer | Mismatched Memory Management Routines | Release of Invalid Pointer or Reference | "2648
438,"Behavioral Problems","Behavioral Change in New Version or Environment | Expected Behavior Violation | Improper Control of Interaction Frequency | Business Logic Errors | Improper Enforcement of Behavioral Workflow | "2481
442,"Web Problems","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') | Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting') | Cross-Site Request Forgery (CSRF) | Direct Request ('Forced Browsing') | Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling') | URL Redirection to Untrusted Site ('Open Redirect') | Improper Restriction of XML External Entity Reference ('XXE') | Improper Neutralization of HTTP Headers for Scripting Syntax | Reliance on File Name or Extension of Externally-Supplied File | Use of Non-Canonical URL Paths for Authorization Decisions | Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion') | Reliance on Cookies without Validation and Integrity Checking in a Security Decision | Improper Control of Document Type Definition | "7495
504,"Motivation/Intent","Intentionally Introduced Weakness | Inadvertently Introduced Weakness | "2063
505,"Intentionally Introduced Weakness","Embedded Malicious Code | Intentionally Introduced Nonmalicious Weakness | Hidden Functionality | Improper Control of Dynamically-Managed Code Resources | "2063
632,"Weaknesses that Affect Files or Directories","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') | Improper Resolution of Path Equivalence | Improper Link Resolution Before File Access ('Link Following') | UNIX Path Link Problems | Windows Path Link Problems | Improper Handling of Windows Device Names | Windows Virtual File Problems | Mac Virtual File Problems | Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection') | Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion') | Improper Handling of Case Sensitivity | Creation of chroot Jail Without Changing Working Directory | Password in Configuration File | Permission Issues | Improper Ownership Management | Improper Access Control | Temporary File Issues | Unrestricted Upload of File with Dangerous Type | Information Exposure Through Server Log Files | Files or Directories Accessible to External Parties | Use of Path Manipulation Function without Maximum-sized Buffer | "3445
633,"Weaknesses that Affect Memory","Compiler Removal of Code to Clear Buffers | Improper Restriction of Operations within the Bounds of a Memory Buffer | Buffer Copy without Checking Size of Input ('Classic Buffer Overflow') | Heap-based Buffer Overflow | Improper Validation of Array Index | Use of Externally-Controlled Format String | Sensitive Information Uncleared Before Release | Improper Clearing of Heap Memory Before Release ('Heap Inspection') | Often Misused: String Management | Cleartext Storage of Sensitive Information in Memory | Improper Release of Memory Before Removing Last Reference ('Memory Leak') | Double Free | Use After Free | Sensitive Data Storage in Improperly Locked Memory | Release of Invalid Pointer or Reference | Use of Path Manipulation Function without Maximum-sized Buffer | "6755
634,"Weaknesses that Affect System Processes","Improper Handling of Windows ::DATA Alternate Data Stream | Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') | Argument Injection or Modification | Process Control | Information Exposure Through Process Environment | Incorrect Privilege Assignment | Improper Check for Dropped Privileges | Signal Handler Race Condition | Race Condition within a Thread | J2EE Bad Practices: Direct Use of Threads | Signal Errors | Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak') | Race Condition During Access to Alternate Channel | Unprotected Windows Messaging Channel ('Shatter') | Untrusted Search Path | Signal Handler Use of a Non-reentrant Function | Call to Thread run() instead of start() | "194
664,"Improper Control of a Resource Through its Lifetime","Information Loss or Omission | Improper Access Control | Uncontrolled Resource Consumption ('Resource Exhaustion') | Improper Resource Shutdown or Release | Asymmetric Resource Consumption (Amplification) | Insufficient Resource Pool | Modification of Assumed-Immutable Data (MAID) | Insufficient Encapsulation | Externally Controlled Reference to a Resource in Another Sphere | Improper Synchronization | Improper Initialization | Operation on Resource in Wrong Phase of Lifetime | Exposure of Resource to Wrong Sphere | Incorrect Resource Transfer Between Spheres | External Influence of Sphere Definition | Incorrect Type Conversion or Cast | Use of Incorrectly-Resolved Name or Reference | Use of Uninitialized Resource | Improper Update of Reference Count | Improper Control of Dynamically-Managed Code Resources | Insecure Storage of Sensitive Information | "7989
668,"Exposure of Resource to Wrong Sphere","J2EE Misconfiguration: Entity Bean Declared Remote | Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') | Information Exposure | Sensitive Data Under FTP Root | Passing Mutable Objects to an Untrusted Method | Returning a Mutable Object to an Untrusted Caller | Insecure Temporary File | Transmission of Private Resources into a New Sphere ('Resource Leak') | Uncontrolled Search Path Element | Unquoted Search Path or Element | Public cloneable() Method Without Final ('Object Hijack') | Use of Inner Class Containing Sensitive Data | Critical Public Variable Without Final Modifier | Covert Channel | Insufficiently Protected Credentials | Files or Directories Accessible to External Parties | Array Declared Public, Final, and Static | finalize() Method Declared Public | Struts: Non-private Field in ActionForm Class | External Control of Critical State Data | Incorrect Permission Assignment for Critical Resource | Critical Variable Declared Public | Access to Critical Private Variable via Public Method | Use of Implicit Intent for Sensitive Communication | Overly Permissive Cross-domain Whitelist | "4329
691,"Insufficient Control Flow Management","Improper Control of Generation of Code ('Code Injection') | Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition') | Deployment of Wrong Handler | Missing Handler | Unsafe ActiveX Control Marked Safe For Scripting | Improper Synchronization | Always-Incorrect Control Flow Implementation | Incorrect Behavior Order | Incorrect Control Flow Scoping | Exposed Dangerous Method or Function | Incorrect Short Circuit Evaluation | Improper Control of Interaction Frequency | Excessive Iteration | Improper Enforcement of Behavioral Workflow | "2416
693,"Protection Mechanism Failure","Improper Input Validation | Incorrect Behavior Order: Early Validation | Collapse of Data into Unsafe Value | Permissive Whitelist | Incomplete Blacklist | Improper Access Control | Improper Certificate Validation | Missing Encryption of Sensitive Data | Inadequate Encryption Strength | Use of a Broken or Risky Cryptographic Algorithm | Insufficient Verification of Data Authenticity | Insufficient UI Warning of Dangerous Operations | Improperly Implemented Security Check for Standard | Improper Protection of Alternate Path | Client-Side Enforcement of Server-Side Security | Insufficient Compartmentalization | Reliance on a Single Factor in a Security Decision | Insufficient Psychological Acceptability | Reliance on Security Through Obscurity | Selection of Less-Secure Algorithm During Negotiation ('Algorithm Downgrade') | Insufficient Logging | Reliance on Untrusted Inputs in a Security Decision | "27846
706,"Use of Incorrectly-Resolved Name or Reference","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') | Improper Resolution of Path Equivalence | Improper Link Resolution Before File Access ('Link Following') | Improper Handling of File Names that Identify Virtual Resources | Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion') | Improper Handling of Case Sensitivity | Symbolic Name not Mapping to Correct Object | Improper Control of Document Type Definition | "2269
707,"Improper Enforcement of Message or Data Structure","Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection') | Improper Encoding or Escaping of Output | Improper Neutralization of Special Elements | Improper Null Termination | Encoding Error | Improper Handling of Syntactically Invalid Structure | Improper Handling of Inconsistent Structural Elements | Deletion of Data Structure Sentinel | "13003
710,"Coding Standards Violation","Improper Fulfillment of API Contract ('API Abuse') | Use of Inherently Dangerous Function | Indicator of Poor Code Quality | Violation of Secure Design Principles | Reliance on Undefined, Unspecified, or Implementation-Defined Behavior | Hidden Functionality | "2648
712,"OWASP Top Ten 2007 Category A1 - Cross Site Scripting (XSS)","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') | "6377
713,"OWASP Top Ten 2007 Category A2 - Injection Flaws","Improper Neutralization of Special Elements used in a Command ('Command Injection') | Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') | Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection') | XML Injection (aka Blind XPath Injection) | Improper Neutralization of CRLF Sequences ('CRLF Injection') | "4382
714,"OWASP Top Ten 2007 Category A3 - Malicious File Execution","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') | Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection') | Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion') | Unrestricted Upload of File with Dangerous Type | "194
715,"OWASP Top Ten 2007 Category A4 - Insecure Direct Object Reference","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') | External Control of Assumed-Immutable Web Parameter | Authorization Bypass Through User-Controlled Key | "1848
716,"OWASP Top Ten 2007 Category A5 - Cross Site Request Forgery (CSRF)","Cross-Site Request Forgery (CSRF) | "1118
717,"OWASP Top Ten 2007 Category A6 - Information Leakage and Improper Error Handling","Information Exposure | Information Exposure Through Discrepancy | Information Exposure Through an Error Message | Information Exposure Through Debug Information | "2481
718,"OWASP Top Ten 2007 Category A7 - Broken Authentication and Session Management","Improper Authentication | Reflection Attack in an Authentication Protocol | Insufficiently Protected Credentials | "976
722,"OWASP Top Ten 2004 Category A1 - Unvalidated Input","Improper Input Validation | Improper Neutralization of Special Elements used in a Command ('Command Injection') | Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') | Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') | Struts: Duplicate Validation Forms | Struts: Incomplete validate() Method Definition | Struts: Form Bean Does Not Extend Validation Class | Struts: Plug-in Framework not in Use | Struts: Validator Turned Off | Buffer Copy without Checking Size of Input ('Classic Buffer Overflow') | Improper Handling of Missing Special Element | Improper Handling of Additional Special Element | Incorrect Behavior Order: Early Validation | Incorrect Behavior Order: Validate Before Canonicalize | Incorrect Behavior Order: Validate Before Filter | Collapse of Data into Unsafe Value | Permissive Whitelist | Direct Request ('Forced Browsing') | External Control of Assumed-Immutable Web Parameter | URL Redirection to Untrusted Site ('Open Redirect') | Client-Side Enforcement of Server-Side Security | "25532
723,"OWASP Top Ten 2004 Category A2 - Broken Access Control","J2EE Misconfiguration: Weak Access Permissions for EJB Methods | Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') | Improper Resolution of Path Equivalence | External Control of File Name or Path | Incorrect Privilege Assignment | Privilege Chaining | Permission Issues | Unverified Ownership | Improper Access Control | Improper Authorization | Use of Insufficiently Random Values | Direct Request ('Forced Browsing') | Information Exposure Through Browser Caching | Incorrect Behavior Order: Authorization Before Parsing and Canonicalization | ASP.NET Misconfiguration: Use of Identity Impersonation | Authorization Bypass Through User-Controlled Key | Incorrect Ownership Assignment | "3024
724,"OWASP Top Ten 2004 Category A3 - Broken Authentication and Session Management","Credentials Management | Use of Hard-coded Password | Improper Authentication | Improper Following of a Certificate's Chain of Trust | Improper Validation of Certificate Expiration | Authentication Bypass by Assumed-Immutable Data | Missing Critical Step in Authentication | Improper Restriction of Excessive Authentication Attempts | Use of Password System for Primary Authentication | Insufficient Verification of Data Authenticity | Session Fixation | Weak Password Requirements | Insufficiently Protected Credentials | Information Exposure Through Browser Caching | Authentication Bypass Issues | Insufficient Session Expiration | Unverified Password Change | Weak Password Recovery Mechanism for Forgotten Password | Use of Hard-coded Credentials | "2697
725,"OWASP Top Ten 2004 Category A4 - Cross-Site Scripting (XSS) Flaws","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') | Improper Neutralization of HTTP Headers for Scripting Syntax | "6377
726,"OWASP Top Ten 2004 Category A5 - Buffer Overflows","Improper Restriction of Operations within the Bounds of a Memory Buffer | Buffer Copy without Checking Size of Input ('Classic Buffer Overflow') | Use of Externally-Controlled Format String | "6755
727,"OWASP Top Ten 2004 Category A6 - Injection Flaws","Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection') | Improper Neutralization of Special Elements used in a Command ('Command Injection') | Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') | Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') | XML Injection (aka Blind XPath Injection) | Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection') | Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion') | Improper Output Neutralization for Logs | "13003
738,"CERT C Secure Coding Section 04 - Integers (INT)","Improper Input Validation | Improper Validation of Array Index | Integer Overflow or Wraparound | Integer Coercion Error | Numeric Truncation Error | Divide By Zero | Return of Pointer Value Outside of Expected Range | Assignment of a Fixed Address to a Pointer | Unchecked Input for Loop Condition | Use of Potentially Dangerous Function | Incorrect Conversion between Numeric Types | Incorrect Calculation | "25532
740,"CERT C Secure Coding Section 06 - Arrays (ARR)","Improper Restriction of Operations within the Bounds of a Memory Buffer | Improper Validation of Array Index | Use of sizeof() on a Pointer Type | Use of Pointer Subtraction to Determine Size | Improper Initialization | Buffer Access with Incorrect Length Value | "6593
741,"CERT C Secure Coding Section 07 - Characters and Strings (STR)","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') | Argument Injection or Modification | Improper Restriction of Operations within the Bounds of a Memory Buffer | Buffer Copy without Checking Size of Input ('Classic Buffer Overflow') | Incorrect Calculation of Multi-Byte String Length | Improper Null Termination | Off-by-one Error | Addition of Data Structure Sentinel | Function Call With Incorrect Argument Type | Incorrect Type Conversion or Cast | "6787
742,"CERT C Secure Coding Section 08 - Memory Management (MEM)","Improper Input Validation | Improper Restriction of Operations within the Bounds of a Memory Buffer | Wrap-around Error | Incorrect Calculation of Buffer Size | Integer Overflow or Wraparound | Sensitive Information Uncleared Before Release | Improper Clearing of Heap Memory Before Release ('Heap Inspection') | Unchecked Return Value | Double Free | Use After Free | NULL Pointer Dereference | Exposure of Core Dump File to an Unauthorized Control Sphere | Free of Memory not on the Heap | Sensitive Data Storage in Improperly Locked Memory | Function Call with Incorrectly Specified Arguments | Improper Initialization | Function Call With Incorrectly Specified Argument Value | Improper Check for Unusual or Exceptional Conditions | "25532
743,"CERT C Secure Coding Section 09 - Input Output (FIO)","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') | Path Traversal: '/absolute/pathname/here' | Path Traversal: '\absolute\pathname\here' | Path Traversal: 'C:dirname' | Improper Resolution of Path Equivalence | Improper Link Resolution Before File Access ('Link Following') | UNIX Hard Link | Windows Shortcut Following (.LNK) | Windows Hard Link | Improper Handling of Windows Device Names | Improper Restriction of Operations within the Bounds of a Memory Buffer | Use of Externally-Controlled Format String | Improper Handling of Unexpected Data Type | Incorrect Default Permissions | Incorrect Execution-Assigned Permissions | Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition') | Time-of-check Time-of-use (TOCTOU) Race Condition | Creation of Temporary File in Directory with Incorrect Permissions | Unchecked Error Condition | Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak') | Improper Resource Shutdown or Release | Files or Directories Accessible to External Parties | Duplicate Operations on Resource | Use of Potentially Dangerous Function | Function Call With Incorrect Argument Type | Incorrect Permission Assignment for Critical Resource | "9377
744,"CERT C Secure Coding Section 10 - Environment (ENV)","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') | Argument Injection or Modification | Improper Restriction of Operations within the Bounds of a Memory Buffer | Untrusted Search Path | Duplicate Key in Associative List (Alist) | Incorrect Control Flow Scoping | "6787
746,"CERT C Secure Coding Section 12 - Error Handling (ERR)","Improper Input Validation | Unchecked Error Condition | Missing Standardized Error Handling Mechanism | Use of Potentially Dangerous Function | Incorrect Control Flow Scoping | "25532
747,"CERT C Secure Coding Section 49 - Miscellaneous (MSC)","Compiler Removal of Code to Clear Buffers | Improper Input Validation | Improper Handling of Unicode Encoding | Use of Insufficiently Random Values | Use of Incorrect Operator | Comparing instead of Assigning | Dead Code | Assignment to Variable without Use ('Unused Variable') | Expression is Always False | Expression is Always True | Insufficient Comparison | Incorrect Type Conversion or Cast | "25532
748,"CERT C Secure Coding Section 50 - POSIX (POS)","Improper Link Resolution Before File Access ('Link Following') | Improper Null Termination | Use of Inherently Dangerous Function | Least Privilege Violation | Improper Check for Dropped Privileges | Race Condition Enabling Link Following | Race Condition in Switch | Race Condition within a Thread | Return of Stack Variable Address | Improper Locking | Function Call With Incorrect Argument Type | Incorrect Behavior Order | "421
