ID, frequency
openexr:openexr,1
openevidence:openevidence,1
openengine:openengine,1
openemr:openemr,1
openelectrical:open_electrical_webser,1
openelec:openelec,1
openedit_inc:openedit,1
openedit:openedit_digital_asset_management,1
opendocman:opendocman,1
opendock:easy_gallery,1
opendock:easy_doc,1
opendock:easy_blog,1
opendoc:fullcore,1
openlink:openlink,1
openmosixview:openmosixview,1
openmosix_project:openmosix,1
openmediavault:openmediavault,1
openmedia:openmedia,1
openmairie:openregistrecil,1
openmairie:openpresse,1
openmairie:openplanning,1
openmairie:openmairie,1
openmairie:openfoncier,1
openmairie:opencourrier,1
openmairie:opencominterne,1
openmairie:opencimetiere,1
openmairie:opencatalogue,1
openmairie:openannuaire,1
oneorzero:action_and_information_management_system,1
openldap:openldap,1
openld:openld,1
openkm:openkm,1
openjpeg:openjpeg,1
openjournal:openjournal,1
openit:overlook,1
openinfosecfoundation:suricata,1
openinferno:oi.blogs,1
openimpro:openimpro,1
openid:openid4java,1
openid:openid,1
openi-cms_group:openi-cms,1
openhandsetalliance:android_sdk,1
openh323_project:pwlib,1
nwom:nwom_topsites,1
o2tweet_project:o2tweet,1
o2php:oxygen_bulletin_board,1
o2php:oxygen,1
o2php.com:oxygen,1
o-kiraku_nikki:o-kiraku_nikki,1
o-dyn:collabtive,1
nzhondas:nzhondas.com,1
nzbget:nzbget,1
nyu:opensso_integration,1
nylon:nylon,1
nyc:liver_health_-_hepatitis_c,1
nx:n_x_web_content_management_system_2002,1
nx:n_x_wcms,1
nx5:nx5linx,1
nwtc:nwtc_mobile,1
oaboard:oaboard,1
nvidia:video_driver,1
nvidia:unix_graphic_driver,1
nvidia:unix_driver,1
nvidia:stereoscopic_3d_driver,1
nvidia:nview,1
nvidia:gpu_driver_r346,1
nvidia:gpu_driver_r343,1
nvidia:gpu_driver_r340,1
nvidia:gpu_driver_r304,1
nvidia:gpu_driver,1
nvidia:geforce_310_driver,1
nvidia:driver,1
nvidia:display_driver,1
nvidia:cuda_toolkit,1
oce_north_america:3121_printer,1
ocp2:omnicom_content_platform,1
ocomon:ocomon,1
ocf:sxf_common_library,1
oceandir:oceandir,1
oceanavenue:ocean_avenue_mobile_pro,1
ocean12tech:membership_manager_pro,1
ocean12tech:faq_manager_pro,1
ocean12tech:contact_manager_pro,1
ocean12_technologies:poll_manager,1
ocean12_technologies:membership_manager_pro,1
ocean12_technologies:mailing_list_manager,1
ocean12_technologies:contact_manager,1
ocean12_technologies:calendar_manager_pro,1
ocean12_technologies:calendar_manager,1
oce_north_america:3122_printer,1
nvidia:binary_graphics_driver,1
ocaml:postgresql-ocaml,1
obspm:webjaxe,1
obsession-design:image-gallery,1
obm:open_business_management,1
oblix:netpoint,1
oblius:obedit,1
objectweb:consortium_c-jdbc,1
objectivity:objectivity%2fdb,1
objective_development:webyep,1
objective_development:sharity,1
obie_website:mini_web_shop,1
oberthur:id-one_cosmo,1
oatmeal_studios:mail_file,1
oasyssoft:e-business_designer,1
nuboard:nuboard,1
nukec:nukec,1
nukebookmarks:nukebookmarks,1
nukeai:nukeai,1
nuhit:nuseo_php_enterprise,1
nuggetz:nuggetz_cms,1
nufw:nufw_firewall,1
nufw:nufw,1
nuevolab:nuevoplayer,1
nudester.org:nudester,1
nucleustechnologies:kernel_recovery,1
nucleuscms:nucleus_cms,1
nucleus_group:nucleus_cms,1
nucleus_cms:nucleus_cms,1
nucleus_cms:nucleus,1
nuclearbb:nuclearbb,1
nuked-klan:nuked-klan,1
nuance:pdf_reader_plus,1
nuance:pdf_reader,1
nttdocomo:spmode_mail_android,1
nttdocomo:overseas_usage,1
nttdata:web_analytics_service,1
ntt:050_plus,1
ntt-bp:japan_connected-free_wi-fi,1
ntrglobal:ntr_activex_control,1
ntp:ntp,1
ntop:ntopng,1
ntop:ntop,1
ntlmaps:ntlmaps,1
ntfs-3g:ntfs-3g,1
nteloswireless:my_ntelos,1
nullsoft:shoutcast_dsp,1
nvidia:9400m_driver,1
nusoftware:nubuilder,1
nurul_hidayah_hamazulan:mymesyuarat,1
nuralstorm:nuralstorm_webmail,1
nuphoto:nusquare,1
nune:news_script,1
numedia_soft_inc:nmsdvdx_dvd_burning_sdk,1
numedia_soft:numedia_dvd_burning_sdk,1
numark:cue,1
numarasoftware:footprints,1
numara:footprints,1
numara:asset_manager,1
nullsoft:winamp,1
nullsoft:shoutcast_server,1
ocportal:ocportal,1
nullscripts:web_directory_script,1
nullmailer:nullmailer,1
nulllogic:null_httpd,1
nulllogic:groupware,1
nullam:nullam_blog,1
null_news:null_news,1
nukevietcms:nukeviet,1
nukestyles:viewpage,1
nukescripts:nukesentinel,1
nukefixes:nukefixes,1
nukedweb:guestbookhost,1
nukedit:nukedit,1
nukedgallery:gallery,1
nuked-klan:partenaires_module,1
oman_news_project:oman_news,1
omnistar:lib2_php_library,1
omnisoftsol:vidsharepro,1
omnisecure:httprotect,1
omnis:studio,1
omnipilot_software:lasso_professional_server,1
omnikey.aaitg:omnikey_cardman_4040,1
omnigroup:omniweb,1
omnicron:omnihttpd,1
omilenitsolutions:com_omphotogallery,1
omidrouhani:xerver,1
omfg_mobile_project:omfg_mobile,1
omeka:omeka,1
omegasoft:interneserviceslosungen,1
omegaboard:omegaboard,1
omega-rpg:omega-rpg,1
omnistar_interactive:omnistar_article_manager,1
omail:omail_webmail,1
olykit:swoopo_clone_2010,1
ollydbg:ollydbg,1
olleh:greenbill,1
olle_johansson:jobline,1
olivier_michaud_pierre-yves:quickdev4php,1
olivetoast:documents_pro_file_viewer,1
oliver_rauch:xsane,1
oliver_may:athena_php_website_administration,1
oliver_gorwits:netdisco_mibs_installer,1
oliver_georgi:phpwcms,1
oliver_debon:flash,1
oliver:oliver,1
oleumtech:wio_dh2_wireless_gateway,1
omron:worldview,1
onelouder:friendcaster_chat,1
onelook:onebyone_cms,1
onelook:oboshop,1
onelook:courts_online,1
onefile:onefile_ignite,1
onedotoh:simple_file_manager,1
onedesigns:cover_wp,1
oneclickorgs:one_click_orgs,1
oneclick_cms:oneclick_cms,1
one_you_fitness_project:one_you_fitness,1
one_laptop_per_child:olpc_linux,1
one-news:one-news,1
ondrej_jombik:phpwebfilemanager,1
ondanera.net:hamster_audio_player,1
on_technology:meeting_maker,1
oleumtech:sensor_wireless_i%2fo_module,1
omron:openwnn,1
omron:ns_series_system_program_firmware,1
omron:ns8_hmi_terminal,1
omron:ns5_hmi_terminal,1
omron:ns15_hmi_terminal,1
omron:ns12_hmi_terminal,1
omron:ns10_hmi_terminal,1
omron:cx-programmer,1
omron:cj2m_plc,1
omron:cj2h_plc,1
omniture:sitecatalyst,1
omnistaretools:omnistar_recruiting,1
omnistar_interactive:omnistar_live,1
omnistar_interactive:omnistar_kbase,1
offertaviaggi:firenze_map,1
ohesa_emlak_portali:ohesa_emlak_portali,1
oh_no_not_another_cms:oh_no_not_another_cms,1
og_tabs_project:og_tabs,1
oftpd:oftpd,1
oftc:oftc-hybrid,1
offsystem:offsystem,1
offl:online_fantasy_football_league,1
offis:dcmtk,1
officesip:officesip_server,1
office_ocx:word_viewer_ocx,1
office_ocx:powerpoint_viewer_ocx,1
office_ocx:office_viewer_ocx,1
office_ocx:excel_viewer_ocx,1
office_efficiencies:safesquid,1
offertaviaggi:venezia_map,1
ohhasp:ohhasp,1
oetiker:smokeping,1
oe2edit:oe2edit_cms,1
odysseus_blog:odysseus_blog,1
odelao:obophix,1
oddsock:song_requester,1
odcms:odcms,1
odars:odars,1
octobercms:october,1
octeth:oempro,1
octavocms:octavocms,1
ocsinventory-ng:ocsinventory_ng,1
ocsinventory-ng:ocsinventory-agent,1
ocsinventory-ng:ocs_inventory_ng,1
ocshield:datagard_vpn_%2b_av,1
okscripts:quicklinks,1
oleggo_livestream_project:oleggo_livestream,1
oleg_kovalchuk:cctags,1
olate:olatedownload,1
olate:arctic,1
olat:olat,1
olaschool:ola_school,1
olaf_titz:cipe,1
olaf_noehring:the_search_engine_project,1
ola_lasisi:e-ticketing,1
ol_bookmarks:ol_bookmarks,1
ol-commerce_project:ol-commerce,1
okulumunsitesi:portal,1
okulsistem_okul_web:otomasyon_sistemi,1
okul_merkezi:okul_merkezi_portal,1
openstack:pycadf,1
okscripts:okmall,1
okscripts:okarticles,1
oki_printing_solutions:c5510_mfp_printer,1
okena:stormwatch,1
okcupid:okcupid_dating,1
okb.co.jp:smartphone_passbook,1
okacloud:domain_name_search_%26_web_host,1
ok_web_server_project:ok_web_server,1
oicgroup:exponent_cms,1
oi:minha_oi,1
oi:email_marketing_system,1
ohwada:xf-section,1
ohloh:agoko_cms,1
ohio_state_university:osu_httpd,1
oracle:sun_products_suite_sysfw,1
oracle:virtualization_secure_global_desktop,1
oracle:virtualization,1
oracle:universal_work_queue,1
oracle:timesten_in-memory_database,1
oracle:times_ten_in_memory_database,1
oracle:times_ten_client_server_component,1
oracle:times_ten_client_server,1
oracle:sysfw,1
oracle:support_tools,1
oracle:supply_chain_products_suite_sql-server,1
oracle:supply_chain_products_suite,1
oracle:sunos,1
oracle:sunmc,1
oracle:sun_system_firmware,1
oracle:sun_role_manager,1
oracle:virtualization_sun_ray,1
oracle:sun_products_suite_java_system_web_server,1
oracle:sun_products_suite,1
oracle:sun_product_suite,1
oracle:sun_middleware_products,1
oracle:sun_microsystems_sunscreen_firewall,1
oracle:sun_java_system_web_proxy_server,1
oracle:sun_java_system_access_manager_policy_agent,1
oracle:sun_glassfish_enterprise_server,1
oracle:sun_fire_x4540,1
oracle:sun_fire_x4470_m2,1
oracle:sun_fire_x4470,1
oracle:sun_fire_x4275,1
oracle:sun_fire_x4270_m2,1
oracle:sun_fire_x4270,1
orangehrm:orangehrm,1
ordasoft:com_booklibrary,1
orchardproject:orchard,1
orcabrowser:orca_browser,1
orbitscripts:smartppc_pro,1
orbitscripts:smartppc,1
orbitscripts:orbithyip,1
orbitscripts:orbit_open_ad_server,1
orbitdownloader:orbit_downloader,1
orbitcoders:orbitmatrix,1
orbitals:orbital_viewer,1
orbit_downloader:orbit_downloader,1
orbicule:undercover,1
orbeon:forms,1
orb_networks:orb,1
oray:peanuthull,1
oracle:sun_fire_x4170_m2,1
orange_software:orange_web_server,1
oramon:oramon,1
oracle:xcp,1
oracle:workflow,1
oracle:webloic_server_component,1
oracle:weblogic_workshop,1
oracle:weblogic_server_component,1
oracle:weblogic_server,1
oracle:webcenter_sites,1
oracle:web_listener,1
oracle:warehouse_builder,1
oracle:vm_virtualbox,1
oracle:vm_server,1
oracle:vm,1
oracle:retail_applications_xstore,1
oracle:solaris_cluster,1
oracle:solaris,1
oracle:siebel_suite,1
oracle:siebel_option_pack_ie_activex_control,1
oracle:siebel_enterprise_suite,1
oracle:siebel_enterprise,1
oracle:siebel_crm,1
oracle:service_contracts,1
oracle:secure_global_desktop,1
oracle:secure_enterprise_search,1
oracle:secure_backup,1
oracle:right_now_service_cloud,1
oracle:retail_order_management_system_cloud_service,1
oracle:retail_order_broker_cloud_service,1
oracle:retail_open_commerce_platform_cloud_service,1
oracle:solaris_sparc,1
oracle:retail_applications,1
oracle:reports,1
oracle:report_manager_component,1
oracle:report_manager,1
oracle:rapid_install_web_server,1
oracle:project_contracts,1
oracle:primavera_products_suite,1
oracle:primavera_product_suite,1
oracle:pharmaceutical,1
oracle:peoplesoft_supply_chain_management_order_management,1
oracle:peoplesoft_supply_chain_management_eprocurement,1
oracle:peoplesoft_products,1
oracle:peoplesoft_peopletools_component,1
oracle:peoplesoft_peopletools,1
oracle:sparc_t4-2,1
oracle:sun_fire_x4170,1
oracle:sun_fire_x2270_m2,1
oracle:sun_fire_x2270,1
oracle:sun_convergence,1
oracle:sun_blade_x6450,1
oracle:sun_blade_x6440_m2,1
oracle:sun_blade_x6275_m2,1
oracle:sun_blade_x6275,1
oracle:sun_blade_x6270_m2,1
oracle:sun_blade_x6270,1
oracle:sun_blade_x6250,1
oracle:sql_trace_analyzer,1
oracle:spatial_component,1
oracle:sparc_t4-4,1
ordasoft:com_medialibrary,1
oracle:sparc_t4-1b,1
oracle:sparc_t4-1,1
oracle:sparc_t3-4,1
oracle:sparc_t3-3,1
oracle:sparc_t3-2,1
oracle:sparc_t3-1b,1
oracle:sparc_t3-1,1
oracle:sparc_t-series_server_firmware,1
oracle:sparc_enterprise_m9000_server,1
oracle:sparc_enterprise_m8000_server,1
oracle:sparc_enterprise_m5000_server,1
oracle:sparc_enterprise_m4000_server,1
oracle:sparc_enterprise_m3000_server,1
oracle:solaris_studio,1
otmanager:otmanager,1
ottoman:ottoman,1
otterware:statit,1
otterware:letterit2,1
ott:phpcksec,1
otslabs:otsav_tv,1
otslabs:otsav_radio,1
otslabs:otsav_dj,1
otscms:otscms,1
ots_labs:otsturntables,1
otrs:otrs_itsm,1
otrs:otrs_help_desk,1
otrs:otrs,1
otrs:iphonehandle,1
otomigenx:otomigenx,1
otmanager:otmanager_cms,1
oued:cyrixmed,1
otbcode:easy_music_player,1
oswiki:oswiki,1
oswald_buddenhagen:isync,1
osu_open_source_lab:maintain,1
osticket:osticket_sts,1
osticket:osticket,1
ostenta:yawpp,1
oste:oste,1
ossp:shiela,1
ossp:mm,1
ossigeno:ossigeno,1
ossigeno:cms,1
ossec:ossec,1
osscube:custom_sitemap,1
overkill:overkill,1
ovislink:airlive_poe2600hd,1
ovislink:airlive_poe250hd,1
ovislink:airlive_poe200hd,1
ovislink:airlive_poe100hd,1
ovislink:airlive_od-2060hd,1
ovislink:airlive_od-2025hd,1
ovirt:sanlock,1
ovirt:ovirt-engine-cli,1
ovirt:ovirt,1
ovirt-engine-sdk:3.1.0.5,1
ovidentia:ovidentia,1
overseaswtc:nexorone_online_banking_system,1
overlay_weaver:overlay_weaver,1
overlandstorage:snap_server_410,1
overlandstorage:guardianos,1
osqa:osqa,1
ovbb:ovbb,1
outstart:participate_enterprise,1
outshine:phportfolio,1
outreach_project_tool:opt_max,1
outgun:outgun,1
outfront:spooky_login,1
outblaze:outblaze_email,1
outblaze:outblaze,1
out_of_the_trees_web_design:selectapix,1
ourvideocms:ourvideo_cms,1
ourvideo_cms:ourvideo_cms,1
ourgame.com:hangameplugincn18_activex_control,1
ourgame.com:glworld,1
ourgame.com:globallink,1
organic_groups_project:organic_groups,1
os-cillation:xfce_terminal,1
orville-write:orville-write,1
ortus.nirn:cms_ortus,1
ortro:ortro,1
orlando_cms:orlando_cms,1
orjinweb:orjinweb_e-commerce,1
orion_studios:cinematicmp3,1
orion:orion_application_server,1
orion-blog:orion-blog,1
orion%02:orion_application_server,1
orinoco:orinoco_wavelan,1
origo:asr-8400,1
origo:asr-8100,1
orientdb:orientdb,1
organicphp:php-affiliate,1
osads_alliance_database:osads_alliance_database,1
oreon_project:oreon,1
orenosv:orenosv_http_ftp_server,1
oreka:oreka,1
oreilly:website_professional,1
oreilly:website_pro,1
oreilly:website,1
oreilly:webboard,1
oreilly:oreilly_website,1
oreans:winlicense,1
oreans:themida,1
orderingapps:sweatshop,1
orderingapps:buckhorn_grill,1
ordasoft:com_vehiclemanager,1
ordasoft:com_realestatemanager,1
osehra:vista,1
oskarshamnsliv_project:oskarshamnsliv,1
osk:advance-flow,1
osisoft:pi_sql_for_af,1
osisoft:pi_server,1
osisoft:pi_opc_da_interface,1
osisoft:pi_interface,1
osirix-viewer:osirix_md,1
osirix-viewer:osirix,1
osinet:classified_ads,1
osicom:routermate,1
osiaffiliate:osiaffiliate,1
osi_codes_inc.:phplive,1
osi_codes_inc.:intragnat,1
osh:osh,1
oracle:peoplesoft_hcm_eperformance,1
osdate:osdate,1
oscss:oscss,1
oscommerce:poll_booth,1
oscommerce:php_point_of_sale,1
oscommerce:oscommerce,1
oscommerce:osc2nuke,1
oscommerce:online_merchant,1
oscommerce:luottokunta,1
oscommerce:finnish_bank_payment,1
oscommerce:customer_testimonials,1
oscmax:oscmax,1
osclass:osclass,1
oscc:mymeeting,1
oscar_nierstrasz:htgrep,1
oracle:application_server_discussion_forum_portlet,1
oracle:cadview-3d,1
oracle:business_intelligence_publisher,1
oracle:berkeley_db,1
oracle:beehive,1
oracle:bea_product_suite,1
oracle:balanced_scorecard,1
oracle:authentication_component,1
oracle:audit_vault,1
oracle:argus_safety,1
oracle:approvals_management,1
oracle:applications_manager,1
oracle:applications,1
oracle:application_testing_suite,1
oracle:application_server_web_cache,1
oracle:application_server_portal,1
oracle:clinical,1
oracle:application_server_9i,1
oracle:application_server_10g,1
oracle:application_server,1
oracle:application_object_library,1
oracle:application_express_listener,1
oracle:application_express,1
oracle:apex,1
oracle:agile_engineering_data_management,1
oracle:advanced_replication_component,1
oracle:advanced_replication,1
oracle:advanced_queuing_component,1
oracle:advanced_collections,1
oracle:10g_reports_server,1
oracle:10g_enterprise_manager_grid_control,1
oracle:customer_interaction_history,1
oracle:diagnostics,1
oracle:developer_suite,1
oracle:database_server_lite,1
oracle:database_server,1
oracle:database_scheduler,1
oracle:database_mobile%2flite_server,1
oracle:database_lite,1
oracle:database_assistant,1
oracle:database_9i,1
oracle:database_11i,1
oracle:database_11g,1
oracle:database_10g,1
oracle:database,1
oracle:data_pump_component,1
oracle:customer_relationship_management_technical_foundation,1
oracle:10g_enterprise_manager_database_control,1
oracle:customer_intelligence,1
oracle:crm_technical_foundation,1
oracle:corporate_time_outlook_connector,1
oracle:core_rdbms_component,1
oracle:configurator,1
oracle:communications_unified,1
oracle:communications_server,1
oracle:communications_applications,1
oracle:common_applications,1
oracle:commerce_platform,1
oracle:commerce_guided_search_and_experience_manager,1
oracle:collaboration_suite_10g_release_1,1
oracle:collaboration_suite_10g,1
oracle:collaboration_suite,1
opensymphony:webwork,1
openvpn:openvpn,1
openvmps:openvmps,1
openvas:openvas_manager,1
openvas:openvas_administrator,1
openvas:greenbone_security_assistant,1
opentype_sanitiser_project:opentype_sanitiser,1
openttd:openttd,1
opentools:attachment_mod,1
opentext:secure_mft_2014,1
opentext:secure_mft_2013,1
opentext:opentext_firstclass_desktop_client,1
opentext:opentext%2fixos_ecm_for_sap_netweaver,1
opentext:livelink_ecm,1
opentext:exceed_ondemand,1
opensymphony:xwork,1
openvpn:openvpn_access_server,1
openswan:openswan,1
openswan:linux-patch-openswan,1
opensuse:zypper,1
opensuse:osc,1
opensuse:opensuse,1
opensuse:libxcrypt,1
opensuse:evergreen,1
opensurveypilot:opensurveypilot,1
openstack:trove,1
openstack:telemetry_%28ceilometer%29,1
openstack:swift3,1
openstack:swift,1
openstack:python_glanceclient,1
openstack:python-keystoneclient,1
opera:opera_mini,1
opus-codec:opus,1
optisoft:blubster,1
optipng:optipng,1
optimizepress:optimizepress,1
optimalpayments:neteller_direct_payment_api,1
optimalog:optima_plc,1
opsware:network_automation_system,1
opsview:opsview,1
opscode:chef,1
opial:opial_audio_video_download_management,1
opial:opial,1
opera_software:opera_web_browser,1
opera_software:opera,1
opera:opera_mobile,1
oracle:e-business_intelligence,1
opera:opera_browser,1
opera:opera,1
opera:brew_browser,1
openx:openx_source,1
openx:openx,1
openwsman:openwsman,1
openwiki:openwiki,1
openwfe:work_flow_engine,1
openwebmail.acatysmoof:openwebmail,1
openwebanalytics:open_web_analytics,1
openwbem:openwbem,1
openvz:vzkernel,1
openvz:vzctl,1
openvswitch:openvswitch,1
oracle:mysql_connector%2fnet,1
oracle:oracle8i,1
oracle:oracle10g,1
oracle:opmn_daemon,1
oracle:opensso_enterprise,1
oracle:opensso,1
oracle:opensolaris,1
oracle:openjdk,1
oracle:oneworld_tools,1
oracle:netra_sparc_t4-2b,1
oracle:netra_sparc_t4-2,1
oracle:netra_sparc_t4-1b,1
oracle:netra_sparc_t4-1,1
oracle:netra_sparc_t3-1b,1
oracle:netra_sparc_t3-1,1
oracle:mysql_enterprise_monitor,1
oracle:oracle9i,1
oracle:mysql,1
oracle:mojarra,1
oracle:mobile_application_server,1
oracle:micros_cwdirect,1
oracle:marketing,1
oracle:listener,1
oracle:linux,1
oracle:jsp,1
oracle:jrockit,1
oracle:jre,1
oracle:jinitiator,1
oracle:jdk,1
oracle:jdeveloper,1
oracle:jd_edwards_products,1
oracle:peoplesoft_and_jdedwards_suite_hcm,1
oracle:peoplesoft_enterprise_tools,1
oracle:peoplesoft_enterprise_scm_purchasing,1
oracle:peoplesoft_enterprise_scm,1
oracle:peoplesoft_enterprise_portal,1
oracle:peoplesoft_enterprise_peopletools,1
oracle:peoplesoft_enterprise_human_capital_management,1
oracle:peoplesoft_enterprise_hrms,1
oracle:peoplesoft_enterprise_fscm,1
oracle:peoplesoft_enterprise_fms,1
oracle:peoplesoft_enterprise_fin,1
oracle:peoplesoft_enterprise_els,1
oracle:peoplesoft_enterprise_customer_relationship_management,1
oracle:peoplesoft_enterprise__hrms,1
oracle:peoplesoft_enterprise,1
oracle:peoplesoft_and_jdedwards_suite_scm,1
oracle:jd_edwards_enterpriseone_tools,1
oracle:peoplesoft_and_jdedwards_suite_crm,1
oracle:peoplesoft_and_jdedwards_suite_campus_solutions,1
oracle:peoplesoft_and_jdedwards_product_suite,1
oracle:passlogix_v-go_self-service_password_reset_and_oem,1
oracle:outside_in_technology,1
oracle:oracle_portal_component,1
oracle:oracle_pillar_axiom,1
oracle:oracle_http_server_component,1
oracle:oracle_files,1
oracle:oracle_database,1
oracle:oracle_client,1
oracle:oracle_applications_technology_stack_component,1
oracle:oracle_application_server,1
oracle:oracle_and_sun_systems_product_suite,1
oracle:enterpriseone,1
oracle:health_sciences_applications,1
oracle:goldengate,1
oracle:glassfish_web_space_server10.0,1
oracle:glassfish_server,1
oracle:glassfish,1
oracle:general_ledger,1
oracle:fusion_middleware,1
oracle:forms_builder,1
oracle:forms,1
oracle:financial_services_software,1
oracle:financial_consolidation_hub,1
oracle:field_service,1
oracle:exchange,1
oracle:essbase_server,1
oracle:enterpriseone_tools,1
oracle:html_db,1
oracle:enterprise_manager_plugin_for_database_control,1
oracle:enterprise_manager_grid_control_10g,1
